                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.7341,                 1.7682,                0.98424,                  0.687,                0.68535,                0.78121,                0.45375,                 1.6676,                 1.3704,                 0.9356,                0.00406,                0.00406,                0.00406
                     74,                 1.5952,                 1.7782,                0.95863,                0.59421,                0.80174,                0.77364,                0.46384,                 1.6726,                 1.3755,                0.92372,              0.0039775,              0.0039775,              0.0039775
                     75,                 1.6182,                 1.8223,                 0.9876,                0.64084,                0.80675,                0.78107,                0.47138,                  1.683,                 1.3587,                0.92014,               0.003895,               0.003895,               0.003895
                     76,                 1.7407,                 1.7929,                0.95888,                0.63615,                0.80419,                0.80415,                0.50366,                 1.6037,                 1.3165,                0.91415,              0.0038125,              0.0038125,              0.0038125
                     77,                 1.6527,                 1.7483,                0.98201,                0.63615,                0.80419,                0.80415,                0.50366,                 1.6037,                 1.3165,                0.91415,                0.00373,                0.00373,                0.00373
                     78,                 1.5812,                 1.6617,                0.96128,                0.73822,                0.73241,                0.81186,                0.48103,                 1.6973,                 1.3352,                 0.9292,              0.0036475,              0.0036475,              0.0036475
                     79,                 1.5957,                 1.7527,                 0.9332,                0.80931,                0.76602,                0.82713,                0.47228,                 1.7483,                 1.3591,                0.93329,               0.003565,               0.003565,               0.003565
                     80,                 1.6063,                 1.6945,                0.97402,                0.80975,                0.76879,                0.84235,                0.48809,                 1.7306,                  1.298,                0.92319,              0.0034825,              0.0034825,              0.0034825
                     81,                 1.6823,                 1.6102,                0.96717,                0.77396,                0.79357,                0.84348,                0.48956,                 1.5206,                 1.2593,                0.89692,                 0.0034,                 0.0034,                 0.0034
                     82,                  1.702,                  1.789,                0.93895,                0.86949,                0.76235,                 0.8476,                0.50977,                 1.6337,                 1.3047,                0.91419,              0.0033175,              0.0033175,              0.0033175
                     83,                 1.6187,                 1.7824,                0.95708,                0.82151,                0.75139,                0.84872,                0.49172,                 1.5146,                 1.2461,                0.90301,               0.003235,               0.003235,               0.003235
